word,stress_pattern,primary_syllable,common_mistakes,source
comprehensive,primary on syllable 3,3,none notable beyond cluster and final /v/ errors,standard dictionary pronunciation; cross-check pending
inevitable,primary on syllable 2,2,none notable beyond v/w substitution and final /l/ weakening,standard dictionary pronunciation; cross-check pending
subsequent,primary on syllable 1,1,none notable beyond cluster simplification,standard dictionary pronunciation; cross-check pending
approximately,primary on syllable 2,2,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
determine,primary on syllable 2,2,rhotic vowel under-produced,standard dictionary pronunciation; cross-check pending
increase,noun: primary on syllable 1; verb: primary on syllable 2,1 (noun) / 2 (verb),using one stress pattern for both noun and verb forms,standard dictionary pronunciation; cross-check pending
decrease,noun: primary on syllable 1; verb: primary on syllable 2,1 (noun) / 2 (verb),using one stress pattern for both noun and verb forms,standard dictionary pronunciation; cross-check pending
context,primary on syllable 1,1,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
concept,primary on syllable 1,1,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
structure,primary on syllable 1,1,none notable beyond initial cluster epenthesis,standard dictionary pronunciation; cross-check pending
function,primary on syllable 1,1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
process,primary on syllable 1,1,none notable beyond spelling-predicted vowel error,standard dictionary pronunciation; cross-check pending
factor,primary on syllable 1,1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
variable,primary on syllable 1,1,none notable beyond v/w and final /l/ errors,standard dictionary pronunciation; cross-check pending
sufficient,primary on syllable 2,2,confused with efficient's stress pattern,standard dictionary pronunciation; cross-check pending
efficient,primary on syllable 2,2,confused with sufficient's initial syllable,standard dictionary pronunciation; cross-check pending
influence,primary on syllable 1,1,none notable beyond medial/final cluster simplification,standard dictionary pronunciation; cross-check pending
impact,noun: primary on syllable 1; verb: primary on syllable 2,1 (noun) / 2 (verb),using one stress pattern for both noun and verb forms,standard dictionary pronunciation; cross-check pending
perspective,primary on syllable 2,2,none notable beyond cluster and coda /v/ errors,standard dictionary pronunciation; cross-check pending
strategy,primary on syllable 1,1,none notable beyond initial cluster epenthesis,standard dictionary pronunciation; cross-check pending
principle,primary on syllable 1,1,none notable beyond cluster and final /l/ errors,standard dictionary pronunciation; cross-check pending
theory,primary on syllable 1,1,none notable beyond /θ/ substitution,standard dictionary pronunciation; cross-check pending
evidence,primary on syllable 1,1,none notable beyond v/w and cluster errors,standard dictionary pronunciation; cross-check pending
conclude,primary on syllable 2,2,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
assume,primary on syllable 2,2,inserting a /j/ glide not typical of GA,standard dictionary pronunciation; cross-check pending
achieve,primary on syllable 2,2,none notable beyond coda /v/ risk,standard dictionary pronunciation; cross-check pending
maintain,primary on syllable 2,2,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
obtain,primary on syllable 2,2,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
contribute,primary on syllable 2,2,none notable beyond cluster simplification,standard dictionary pronunciation; cross-check pending
distribute,primary on syllable 2,2,none notable beyond cluster simplification,standard dictionary pronunciation; cross-check pending
investigate,primary on syllable 2,2,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
eliminate,primary on syllable 2,2,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
emphasize,primary on syllable 1,1,none notable beyond cluster and diphthong errors,standard dictionary pronunciation; cross-check pending
illustrate,primary on syllable 1 (GA),1,none notable beyond heavy medial cluster simplification,standard dictionary pronunciation; cross-check pending
benefit,primary on syllable 1,1,final single /t/ coda deleted or given inserted vowel,standard dictionary pronunciation; cross-check pending
advantage,primary on syllable 2,2,none notable beyond v/w and final consonant errors,standard dictionary pronunciation; cross-check pending
disadvantage,"secondary on syllable 1, primary on syllable 3",3,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
challenge,primary on syllable 1,1,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
opportunity,"secondary on syllable 1, primary on syllable 4",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
solution,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
problem,primary on syllable 1,1,none notable beyond cluster and final /l/ errors,standard dictionary pronunciation; cross-check pending
issue,primary on syllable 1,1,none especially notable,standard dictionary pronunciation; cross-check pending
situation,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
circumstance,primary on syllable 1,1,none notable beyond cluster and rhotic vowel errors,standard dictionary pronunciation; cross-check pending
condition,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
relationship,primary on syllable 2,2,none notable beyond diphthong and cluster errors,standard dictionary pronunciation; cross-check pending
communication,"secondary on syllable 2, primary on syllable 5 (-tion rule)",5,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
technology,primary on syllable 2,2,commonly mis-stressed onto syllable 1,standard dictionary pronunciation; cross-check pending
innovation,"secondary on syllable 1, primary on syllable 3 (-tion rule)",3,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
traditional,primary on syllable 2,2,none notable beyond cluster and final /l/ errors,standard dictionary pronunciation; cross-check pending
global,primary on syllable 1,1,"none notable beyond diphthong, cluster, and final /l/ errors",standard dictionary pronunciation; cross-check pending
economic,"secondary on syllable 1, primary on syllable 3 (-ic rule)",3,confused with economy's different stress pattern,standard dictionary pronunciation; cross-check pending
economy,primary on syllable 2,2,confused with economic's different stress pattern,standard dictionary pronunciation; cross-check pending
society,primary on syllable 2,2,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
population,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
generation,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
government,primary on syllable 1,1,none notable beyond v/w and cluster errors,standard dictionary pronunciation; cross-check pending
policy,primary on syllable 1,1,none especially notable,standard dictionary pronunciation; cross-check pending
education,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
knowledge,primary on syllable 1,1,silent k mispronounced as /k/,standard dictionary pronunciation; cross-check pending
skill,primary stress (monosyllable),1,none notable beyond onset cluster and final /l/ errors,standard dictionary pronunciation; cross-check pending
experience,primary on syllable 2,2,none notable beyond cluster simplification at two sites,standard dictionary pronunciation; cross-check pending
professional,primary on syllable 2,2,none notable beyond cluster and final /l/ errors,standard dictionary pronunciation; cross-check pending
resource,primary on syllable 1 (GA-typical),1,stress placed on syllable 2 by analogy with other words,standard dictionary pronunciation; cross-check pending
essential,primary on syllable 2,2,none notable beyond final /l/ weakening,standard dictionary pronunciation; cross-check pending
crucial,primary on syllable 1,1,none notable beyond cluster and final /l/ errors,standard dictionary pronunciation; cross-check pending
valuable,primary on syllable 1,1,none notable beyond v/w and final /l/ errors,standard dictionary pronunciation; cross-check pending
reliable,primary on syllable 3,3,none notable beyond diphthong and final /l/ errors,standard dictionary pronunciation; cross-check pending
flexible,primary on syllable 1,1,none notable beyond cluster and final /l/ errors,standard dictionary pronunciation; cross-check pending
accurate,primary on syllable 1,1,none notable beyond /kj/ glide and rhotic errors,standard dictionary pronunciation; cross-check pending
appropriate,primary on syllable 2 in both forms; final vowel differs by grammatical role,2,using the wrong form's ending,standard dictionary pronunciation; cross-check pending
suitable,primary on syllable 1,1,none notable beyond final /l/ weakening,standard dictionary pronunciation; cross-check pending
reasonable,primary on syllable 1,1,none notable beyond /z/ devoicing and final /l/ errors,standard dictionary pronunciation; cross-check pending
remarkable,primary on syllable 2,2,none notable beyond rhotic vowel and final /l/ errors,standard dictionary pronunciation; cross-check pending
dramatic,primary on syllable 2 (-ic rule),2,stress misapplied despite regular -ic pattern,standard dictionary pronunciation; cross-check pending
gradual,primary on syllable 1,1,none notable beyond initial cluster epenthesis,standard dictionary pronunciation; cross-check pending
steady,primary on syllable 1,1,none notable beyond initial cluster epenthesis,standard dictionary pronunciation; cross-check pending
rapid,primary on syllable 1,1,none notable beyond final consonant errors,standard dictionary pronunciation; cross-check pending
decline,primary on syllable 2 in both noun and verb forms,2,incorrectly assuming a stress shift by analogy with increase/decrease,standard dictionary pronunciation; cross-check pending
fluctuate,primary on syllable 1,1,none notable beyond cluster simplification at two sites,standard dictionary pronunciation; cross-check pending
proportion,primary on syllable 2,2,none notable beyond cluster and rhotic errors,standard dictionary pronunciation; cross-check pending
percentage,primary on syllable 2,2,none notable beyond rhotic and final consonant errors,standard dictionary pronunciation; cross-check pending
majority,primary on syllable 2,2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
minority,primary on syllable 2,2,none notable beyond diphthong and rhotic errors,standard dictionary pronunciation; cross-check pending
average,primary on syllable 1,1,none notable beyond final consonant errors,standard dictionary pronunciation; cross-check pending
overall,"secondary on syllable 1, primary on syllable 3",3,"none notable beyond v/w, diphthong, and rhotic errors",standard dictionary pronunciation; cross-check pending
approximate,primary on syllable 2 in both forms; final vowel differs by grammatical role,2,using the wrong form's ending,standard dictionary pronunciation; cross-check pending
compare,primary on syllable 2,2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
contrast,noun: primary on syllable 1; verb: primary on syllable 2,1 (noun) / 2 (verb),using one stress pattern for both noun and verb forms,standard dictionary pronunciation; cross-check pending
similar,primary on syllable 1,1,commonly mis-stressed onto syllable 2,standard dictionary pronunciation; cross-check pending
differ,primary on syllable 1,1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
equivalent,primary on syllable 2,2,none notable beyond cluster simplification at two sites,standard dictionary pronunciation; cross-check pending
correspond,"secondary on syllable 1, primary on syllable 3",3,none notable beyond rhotic and cluster errors,standard dictionary pronunciation; cross-check pending
represent,"secondary on syllable 1, primary on syllable 3",3,none notable beyond cluster and /z/ devoicing errors,standard dictionary pronunciation; cross-check pending
argue,primary on syllable 1,1,none notable beyond rhotic vowel and glide errors,standard dictionary pronunciation; cross-check pending
argument,primary on syllable 1 (no shift from argue),1,none notable beyond rhotic vowel and final cluster errors,standard dictionary pronunciation; cross-check pending
debate,primary on syllable 2,2,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
controversial,"secondary on syllable 1, primary on syllable 3 (GA-typical; variant exists)",3,mixing two attested stress variants inconsistently,standard dictionary pronunciation; cross-check pending
consequence,primary on syllable 1,1,none notable beyond cluster simplification,standard dictionary pronunciation; cross-check pending
consequently,primary on syllable 1 (no shift from consequence),1,none notable beyond cluster simplification,standard dictionary pronunciation; cross-check pending
thus,primary stress (monosyllable),1,none notable beyond /ð/ substitution,standard dictionary pronunciation; cross-check pending
despite,primary on syllable 2,2,none notable beyond cluster and diphthong errors,standard dictionary pronunciation; cross-check pending
nevertheless,"secondary on syllable 1, primary on syllable 4",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
furthermore,primary on syllable 1,1,none notable beyond /ð/ and rhotic vowel errors,standard dictionary pronunciation; cross-check pending
moreover,primary on syllable 2,2,"none notable beyond v/w, diphthong, and rhotic errors",standard dictionary pronunciation; cross-check pending
addition,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
regarding,primary on syllable 2,2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
overcome,"secondary on syllable 1, primary on syllable 3",3,"none notable beyond v/w, diphthong, and rhotic errors",standard dictionary pronunciation; cross-check pending
address,verb: primary on syllable 2; noun: variable across sources,2 (verb) / variable (noun),assuming a clean stress split as confident as record/present,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
tackle,primary on syllable 1,1,none notable beyond final /l/ weakening,standard dictionary pronunciation; cross-check pending
implement,primary on syllable 1,1,none notable beyond cluster simplification at two sites,standard dictionary pronunciation; cross-check pending
implementation,"secondary on syllable 1, primary on syllable 5 (-tion rule)",5,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
execute,primary on syllable 1,1,none notable beyond heavy medial cluster simplification,standard dictionary pronunciation; cross-check pending
enhance,primary on syllable 2,2,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
improve,primary on syllable 2 (no shift to improvement),2,none notable beyond cluster and coda /v/ errors,standard dictionary pronunciation; cross-check pending
improvement,primary on syllable 2 (no shift from improve),2,none notable beyond cluster and coda /v/ errors,standard dictionary pronunciation; cross-check pending
facilitate,primary on syllable 2,2,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
promote,primary on syllable 2,2,none notable beyond cluster and diphthong errors,standard dictionary pronunciation; cross-check pending
encourage,primary on syllable 2 (prefix does not shift stress),2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
discourage,primary on syllable 2 (prefix does not shift stress),2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
prevent,primary on syllable 2,2,none notable beyond cluster and v/w errors,standard dictionary pronunciation; cross-check pending
avoid,primary on syllable 2,2,none notable beyond v/w and diphthong errors,standard dictionary pronunciation; cross-check pending
reduce,primary on syllable 2,2,none especially notable,standard dictionary pronunciation; cross-check pending
minimize,primary on syllable 1,1,flattened to equal stress given three syllables,standard dictionary pronunciation; cross-check pending
university,"secondary on syllable 1, primary on syllable 3",3,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
institution,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
curriculum,primary on syllable 2,2,none notable beyond /kj/ glide dropped,standard dictionary pronunciation; cross-check pending
assignment,primary on syllable 2,2,none notable beyond diphthong and cluster errors,standard dictionary pronunciation; cross-check pending
lecture,primary on syllable 1,1,none notable beyond cluster and rhotic errors,standard dictionary pronunciation; cross-check pending
seminar,primary on syllable 1,1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
graduate,primary on syllable 1 in both forms; final vowel differs by grammatical role,1,using the wrong form's ending,standard dictionary pronunciation; cross-check pending
undergraduate,"secondary on syllable 1, primary on syllable 3",3,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
degree,primary on syllable 2,2,none especially notable,standard dictionary pronunciation; cross-check pending
qualification,"secondary on syllable 1, primary on syllable 5 (-tion rule)",5,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
career,primary on final syllable (-eer pattern),2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
employment,primary on syllable 2 (no shift from employ),2,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
employee,primary on final syllable -ee (shift from employ/employer); a less common variant stresses syllable 2 instead,3,applying employ's stress pattern instead of shifting to -ee,"standard dictionary pronunciation; verified via WebSearch against Cambridge Dictionary aggregation, confirms two attested stress variants"
employer,primary on syllable 2 (no shift from employ),2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
workplace,primary on syllable 1,1,none notable beyond heavy medial cluster simplification,standard dictionary pronunciation; cross-check pending
colleague,primary on syllable 1,1,none especially notable,standard dictionary pronunciation; cross-check pending
supervisor,primary on syllable 1,1,"none notable beyond v/w, rhotic, and diphthong errors",standard dictionary pronunciation; cross-check pending
management,primary on syllable 1 (no shift from manage),1,none notable beyond heavy final cluster simplification,standard dictionary pronunciation; cross-check pending
manage,primary on syllable 1 (no shift to management),1,none notable beyond final consonant errors,standard dictionary pronunciation; cross-check pending
organization,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
organize,primary on syllable 1,1,none notable beyond rhotic vowel and diphthong errors,standard dictionary pronunciation; cross-check pending
participate,primary on syllable 2 (no shift from participant),2,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
participant,primary on syllable 2 (no shift from participate),2,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
volunteer,"secondary on syllable 1, primary on final syllable -teer (-eer pattern)",3,stress misapplied to an earlier syllable,standard dictionary pronunciation; cross-check pending
schedule,primary on syllable 1,1,none notable beyond initial cluster epenthesis,standard dictionary pronunciation; cross-check pending
deadline,primary on syllable 1,1,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
duration,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
semester,primary on syllable 2,2,none notable beyond cluster and rhotic errors,standard dictionary pronunciation; cross-check pending
academic,"secondary on syllable 1, primary on syllable 3 (-ic rule)",3,stress misapplied despite regular -ic pattern,standard dictionary pronunciation; cross-check pending
scholarship,primary on syllable 1,1,none notable beyond cluster and rhotic errors,standard dictionary pronunciation; cross-check pending
climate,primary on syllable 1,1,none notable beyond cluster and diphthong errors,standard dictionary pronunciation; cross-check pending
species,primary on syllable 1,1,none notable beyond initial cluster epenthesis,standard dictionary pronunciation; cross-check pending
ecosystem,primary on syllable 1,1,none notable beyond diphthong shortening,standard dictionary pronunciation; cross-check pending
sustainable,primary on syllable 2,2,none notable beyond diphthong and final /l/ errors,standard dictionary pronunciation; cross-check pending
sustainability,"secondary on syllable 2, primary on syllable 5 (-ity rule)",5,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
renewable,primary on syllable 2,2,none notable beyond final /l/ weakening,standard dictionary pronunciation; cross-check pending
emission,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
pollution,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
conservation,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
biodiversity,"secondary on syllable 1, primary on syllable 5 (-ity rule)",5,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
temperature,primary on syllable 1,1,over-articulating a compressed syllable,standard dictionary pronunciation; cross-check pending
atmosphere,primary on syllable 1,1,none notable beyond heavy medial cluster simplification,standard dictionary pronunciation; cross-check pending
molecule,primary on syllable 1,1,none notable beyond /kj/ glide dropped,standard dictionary pronunciation; cross-check pending
organism,primary on syllable 1,1,none notable beyond rhotic vowel and /z/ devoicing errors,standard dictionary pronunciation; cross-check pending
mechanism,primary on syllable 1,1,none notable beyond /z/ devoicing risk,standard dictionary pronunciation; cross-check pending
artificial,"secondary on syllable 1, primary on syllable 3",3,none notable beyond rhotic vowel and final /l/ errors,standard dictionary pronunciation; cross-check pending
intelligence,primary on syllable 2,2,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
algorithm,primary on syllable 1,1,none notable beyond rhotic vowel and medial /ð/ errors,standard dictionary pronunciation; cross-check pending
device,primary on syllable 2,2,none notable beyond v/w and diphthong errors,standard dictionary pronunciation; cross-check pending
equipment,primary on syllable 2,2,none notable beyond cluster simplification at two sites,standard dictionary pronunciation; cross-check pending
infrastructure,primary on syllable 1,1,none notable beyond dense medial cluster simplification,standard dictionary pronunciation; cross-check pending
transportation,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
vehicle,primary on syllable 1,1,pronouncing the silent h; final /l/ weakening,standard dictionary pronunciation; cross-check pending
efficiency,primary on syllable 2 (no shift from efficient),2,"confused with sufficient's pattern, inherited from efficient",standard dictionary pronunciation; cross-check pending
capacity,primary on syllable 2,2,none especially notable,standard dictionary pronunciation; cross-check pending
quantity,primary on syllable 1,1,confused with quality's near-identical form,standard dictionary pronunciation; cross-check pending
quality,primary on syllable 1,1,confused with quantity's near-identical form,standard dictionary pronunciation; cross-check pending
volume,primary on syllable 1,1,none notable beyond v/w and glide errors,standard dictionary pronunciation; cross-check pending
density,primary on syllable 1,1,none notable beyond final cluster simplification,standard dictionary pronunciation; cross-check pending
velocity,primary on syllable 2,2,none notable beyond v/w substitution,standard dictionary pronunciation; cross-check pending
medicine,primary on syllable 1 (no shift to medical),1,none especially notable,standard dictionary pronunciation; cross-check pending
medical,primary on syllable 1 (no shift from medicine),1,none notable beyond final /l/ weakening,standard dictionary pronunciation; cross-check pending
treatment,primary on syllable 1,1,none notable beyond cluster simplification at two sites,standard dictionary pronunciation; cross-check pending
symptom,primary on syllable 1,1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
diagnosis,"secondary on syllable 1, primary on syllable 3",3,flattened to equal stress; two diphthongs shortened,standard dictionary pronunciation; cross-check pending
disease,primary on syllable 2,2,none notable beyond /z/ devoicing at two sites,standard dictionary pronunciation; cross-check pending
virus,primary on syllable 1,1,none notable beyond v/w and diphthong errors,standard dictionary pronunciation; cross-check pending
vaccine,primary on syllable 2 (GA-typical; variant exists),2,mixing two attested stress variants inconsistently,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
immune,primary on syllable 2,2,none notable beyond /mj/ glide dropped,standard dictionary pronunciation; cross-check pending
nutrition,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
exercise,primary on syllable 1,1,none notable beyond final diphthong shortening,standard dictionary pronunciation; cross-check pending
psychology,primary on syllable 2,2,pronouncing the silent p,standard dictionary pronunciation; cross-check pending
behavior,primary on syllable 2,2,none notable beyond v/w and rhotic errors,standard dictionary pronunciation; cross-check pending
emotion,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
memory,primary on syllable 1,1,none especially notable,standard dictionary pronunciation; cross-check pending
perception,primary on syllable 2 (-tion rule),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
cognitive,primary on syllable 1,1,none notable beyond cluster and coda /v/ errors,standard dictionary pronunciation; cross-check pending
awareness,primary on syllable 2,2,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
history,primary on syllable 1 (shifts in historical),1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
historical,"primary on syllable 2 (-ical rule, shift from history)",2,applying history's syllable-1 stress instead of shifting,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
culture,primary on syllable 1 (no shift to cultural),1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
cultural,primary on syllable 1 (no shift from culture),1,none notable beyond rhotic vowel and final /l/ errors,standard dictionary pronunciation; cross-check pending
century,primary on syllable 1,1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
ancient,primary on syllable 1,1,none notable beyond diphthong and final cluster errors,standard dictionary pronunciation; cross-check pending
civilization,"secondary on syllable 1, primary on syllable 5 (-tion rule)",5,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
heritage,primary on syllable 1,1,none notable beyond rhotic vowel and final consonant errors,standard dictionary pronunciation; cross-check pending
tradition,primary on syllable 2 (-tion rule; no shift from traditional),2,stress misapplied despite regular -tion pattern,standard dictionary pronunciation; cross-check pending
custom,primary on syllable 1,1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
religion,primary on syllable 2 (no shift to religious),2,none especially notable,standard dictionary pronunciation; cross-check pending
religious,primary on syllable 2 (no shift from religion),2,none especially notable,standard dictionary pronunciation; cross-check pending
budget,primary on syllable 1,1,final single /t/ coda deleted or given inserted vowel,standard dictionary pronunciation; cross-check pending
investment,primary on syllable 2 (no shift from invest),2,none notable beyond v/w and final cluster errors,standard dictionary pronunciation; cross-check pending
invest,primary on syllable 2 (no shift to investment),2,none notable beyond v/w substitution,standard dictionary pronunciation; cross-check pending
profit,primary on syllable 1,1,none notable beyond cluster and final consonant errors,standard dictionary pronunciation; cross-check pending
revenue,primary on syllable 1,1,none notable beyond v/w substitution,standard dictionary pronunciation; cross-check pending
expense,primary on syllable 2,2,none notable beyond cluster simplification at two sites,standard dictionary pronunciation; cross-check pending
finance,primary on syllable 1 (variant: syllable 2),1,mixing two attested stress variants,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
financial,primary on syllable 2,2,none notable beyond final /l/ weakening,standard dictionary pronunciation; verified via WebSearch cross-reference (2026-08-06) against Cambridge Dictionary/Wiktionary aggregated results — direct site fetch still returns 403
commercial,primary on syllable 2,2,none notable beyond rhotic vowel and final /l/ errors,standard dictionary pronunciation; cross-check pending
corporate,primary on syllable 1,1,none notable beyond rhotic vowel errors,standard dictionary pronunciation; cross-check pending
corporation,"secondary on syllable 1, primary on syllable 4 (-tion rule)",4,flattened to equal stress given word length,standard dictionary pronunciation; cross-check pending
industry,primary on syllable 1 (shifts in industrial),1,none notable beyond medial cluster simplification,standard dictionary pronunciation; cross-check pending
industrial,primary on syllable 2 (-ial shift from industry),2,applying industry's syllable-1 stress instead of shifting,standard dictionary pronunciation; cross-check pending
