word,part_of_speech,meaning,chinese_translation,related_words,difficulty,notes
demonstrate,verb,"to clearly show the existence or truth of something",证明；展示,"demonstration (n.); demonstrated (v.)",Medium,""
considerable,adjective,"large in amount, extent, or degree",相当大的,"considerably (adv.); consider (v.); consideration (n.)",Medium,""
substantial,adjective,"of considerable importance, size, or worth",大量的；实质的,"substantially (adv.); substance (n.)",Medium,""
phenomenon,noun,"a fact or situation observed to exist or happen",现象,"phenomena (plural); phenomenal (adj.)",High,""
hypothesis,noun,"a proposed explanation made on limited evidence, to be tested",假设,"hypothesize (v.); hypothetical (adj.)",High,""
methodology,noun,"a system of methods used in a particular field or study",方法论,"method (n.); methodological (adj.)",High,""
comprehensive,adjective,"complete and including everything necessary",全面的,"comprehensively (adv.); comprehend (v.); comprehension (n.)",High,""
inevitable,adjective,"certain to happen; unavoidable",不可避免的,"inevitably (adv.)",High,""
subsequent,adjective,"coming after something in time",随后的,"subsequently (adv.)",Medium,""
approximately,adverb,"close to a particular number or amount, but not exact",大约,"approximate (adj./v.); approximation (n.)",High,"high frequency in Describe Image, Essay, SWT"
determine,verb,"to establish or ascertain something precisely",确定；决定,"determination (n.); determined (adj.)",Medium,""
increase,"noun / verb","to become or make greater in size, amount, or degree",增加,"increasingly (adv.); increased (adj.)",Medium,"noun/verb stress pair"
decrease,"noun / verb","to become or make smaller in size, amount, or degree",减少,"decreasingly (adv.); decreased (adj.)",Medium,"noun/verb stress pair"
context,noun,"the circumstances that form the setting for an event or idea",背景；语境,"contextual (adj.); contextualize (v.)",Medium,""
concept,noun,"an abstract idea or general notion",概念,"conceptual (adj.); conceptualize (v.)",Low,""
structure,noun,"the arrangement of and relations between the parts of something",结构,"structural (adj.); structured (adj.); restructure (v.)",Medium,""
function,"noun / verb","an activity or purpose natural to a person or thing; to operate",功能；运作,"functional (adj.); functionality (n.); malfunction (n./v.)",Low,""
process,"noun / verb","a series of actions taken to achieve a result",过程；处理,"processed (adj.); processing (n.)",Low,"spelling-predicted vowel error"
factor,noun,"a circumstance contributing to a result",因素,"factorial (n.); factored (adj.)",Low,""
variable,"adjective / noun","able or likely to change; a factor that can vary",可变的；变量,"variably (adv.); variability (n.)",Medium,""
sufficient,adjective,"enough for a purpose",足够的,"sufficiently (adv.); insufficient (adj.)",Medium,"minimal pair with efficient"
efficient,adjective,"achieving maximum productivity with minimum wasted effort",高效的,"efficiently (adv.); efficiency (n.); inefficient (adj.)",Medium,"minimal pair with sufficient"
influence,"noun / verb","the capacity to have an effect on someone or something",影响,"influential (adj.); influenced (v.)",Medium,""
impact,"noun / verb","a marked effect or influence",影响；冲击,"impactful (adj.)",Medium,"noun/verb stress pair"
perspective,noun,"a particular attitude toward or way of viewing something",视角；观点,"perspectives (pl.)",High,""
strategy,noun,"a plan of action designed to achieve a goal",策略,"strategic (adj.); strategically (adv.); strategize (v.)",Medium,""
principle,noun,"a fundamental truth or proposition serving as a foundation",原则,"principled (adj.); principal (homophone, different word)",Medium,""
theory,noun,"a supposition or system of ideas explaining something",理论,"theoretical (adj.); theoretically (adv.); theorize (v.)",Low,""
evidence,noun,"facts or information indicating whether something is true",证据,"evident (adj.); evidently (adv.)",Medium,""
conclude,verb,"to bring to an end; to deduce from evidence",得出结论；结束,"conclusion (n.); conclusive (adj.)",Medium,""
assume,verb,"to accept as true without proof",假设；假定,"assumption (n.); assumed (adj.)",Low,"GA yod-dropping detail"
achieve,verb,"to successfully bring about a desired result",实现；达到,"achievement (n.); achievable (adj.)",Low,""
maintain,verb,"to keep something in an existing state",维持；保持,"maintenance (n.); maintained (adj.)",Low,""
obtain,verb,"to get or acquire something",获得,"obtainable (adj.)",Medium,""
contribute,verb,"to give something in order to help achieve a result",贡献；促成,"contribution (n.); contributor (n.)",Medium,""
distribute,verb,"to give shares of something to a number of recipients",分配；分发,"distribution (n.); distributor (n.)",Medium,""
investigate,verb,"to carry out research or a systematic inquiry",调查；研究,"investigation (n.); investigator (n.)",High,""
eliminate,verb,"to completely remove or get rid of something",消除,"elimination (n.)",High,""
emphasize,verb,"to give special importance to something",强调,"emphasis (n.); emphatic (adj.)",Medium,""
illustrate,verb,"to explain or make clear by using examples or pictures",说明；举例说明,"illustration (n.); illustrative (adj.)",High,""
benefit,"noun / verb","an advantage or profit gained from something",好处；益处,"beneficial (adj.); beneficiary (n.)",Medium,""
advantage,noun,"a condition giving a favorable position",优势,"advantageous (adj.); disadvantage (n.)",Medium,""
disadvantage,noun,"an unfavorable circumstance or condition",劣势；不利条件,"disadvantaged (adj.)",High,""
challenge,"noun / verb","a task or situation that tests ability",挑战,"challenging (adj.); challenged (adj.)",Low,""
opportunity,noun,"a favorable time or set of circumstances",机会,"opportune (adj.)",High,""
solution,noun,"a means of solving a problem",解决方案,"solve (v.); solvable (adj.)",Low,"-tion suffix stress example"
problem,noun,"a matter requiring a solution",问题,"problematic (adj.)",Low,""
issue,"noun / verb","an important topic for debate; to distribute officially",问题；议题；发布,"issued (v.)",Low,""
situation,noun,"a set of circumstances at a particular time",情况；情景,"situated (adj.)",Medium,"-tion suffix stress example"
circumstance,noun,"a fact or condition connected with an event",情况；条件,"circumstantial (adj.)",High,""
condition,"noun / verb","the state of something; a requirement",条件；状况,"conditional (adj.); unconditional (adj.)",Low,"-tion suffix stress example"
relationship,noun,"the way in which two people or things are connected",关系,"relate (v.); related (adj.)",Medium,""
communication,noun,"the exchange of information",沟通；交流,"communicate (v.); communicative (adj.)",High,"-tion suffix stress example"
technology,noun,"the application of scientific knowledge for practical purposes",技术；科技,"technological (adj.); technologically (adv.)",Medium,"commonly mis-stressed word"
innovation,noun,"a new method, idea, or product",创新,"innovative (adj.); innovate (v.)",Medium,"-tion suffix stress example"
traditional,adjective,"conforming to established custom",传统的,"tradition (n.); traditionally (adv.)",Medium,""
global,adjective,"relating to the whole world",全球的,"globally (adv.); globalization (n.)",Medium,""
economic,adjective,"relating to economics or the economy",经济的,"economy (n.); economically (adv.); economics (n.)",High,"-ic suffix stress example; stress-shift pair with economy"
economy,noun,"the wealth and resources of a country or region",经济,"economic (adj.); economical (adj.); economist (n.)",High,"stress-shift pair with economic"
society,noun,"people living together as a community",社会,"social (adj.); sociable (adj.)",Low,""
population,noun,"the inhabitants of a particular area",人口,"populate (v.); populated (adj.)",High,"-tion suffix stress example"
generation,noun,"all people born around the same time",一代人；一代,"generate (v.); generational (adj.)",Medium,"-tion suffix stress example"
government,noun,"the group with authority to govern a country or state",政府,"govern (v.); governmental (adj.)",High,""
policy,noun,"a course of action adopted by an organization or government",政策,"policies (pl.); policymaker (n.)",Low,""
education,noun,"the process of teaching or learning",教育,"educate (v.); educational (adj.)",High,"-tion suffix stress example"
knowledge,noun,"facts, information, and skills acquired through experience",知识,"knowledgeable (adj.)",Medium,"silent k spelling mismatch"
skill,noun,"the ability to do something well",技能,"skilled (adj.); skillful (adj.)",Medium,""
experience,"noun / verb","practical contact with and observation of events",经验；经历,"experienced (adj.); experiential (adj.)",Medium,""
professional,"adjective / noun","relating to a profession; competent and skilled",专业的；专业人士,"profession (n.); professionally (adv.)",Medium,""
resource,noun,"a stock or supply that can be drawn on",资源,"resourceful (adj.); resources (pl.)",Low,""
essential,adjective,"absolutely necessary",必要的；本质的,"essentially (adv.); essence (n.)",Medium,""
crucial,adjective,"of great importance",至关重要的,"crucially (adv.)",Medium,""
valuable,adjective,"worth a great deal; useful",有价值的,"value (n./v.); invaluable (adj.)",Medium,""
reliable,adjective,"consistently good in quality or performance",可靠的,"rely (v.); reliability (n.); unreliable (adj.)",Medium,""
flexible,adjective,"able to bend or adapt easily",灵活的,"flexibility (n.); flexibly (adv.)",High,""
accurate,adjective,"correct and precise",准确的,"accuracy (n.); accurately (adv.); inaccurate (adj.)",Medium,""
appropriate,"adjective / verb","suitable or fitting; to take for one's own use",恰当的；适当的；拨用,"appropriately (adv.); inappropriate (adj.)",High,"adjective/verb ending alternation"
suitable,adjective,"right or appropriate for a particular purpose",合适的,"suitably (adv.); unsuitable (adj.)",Low,""
reasonable,adjective,"fair and sensible",合理的,"reason (n./v.); reasonably (adv.); unreasonable (adj.)",Medium,""
remarkable,adjective,"worthy of attention; extraordinary",卓越的；显著的,"remarkably (adv.); remark (n./v.)",Medium,""
dramatic,adjective,"sudden and striking",戏剧性的；急剧的,"drama (n.); dramatically (adv.)",Medium,"-ic suffix stress example"
gradual,adjective,"happening slowly over a period of time",逐渐的,"gradually (adv.)",Medium,""
steady,adjective,"firmly fixed or consistent",稳定的,"steadily (adv.)",Low,""
rapid,adjective,"happening in a short time; fast",迅速的,"rapidly (adv.)",Low,""
decline,"noun / verb","a gradual decrease; to become smaller or worse",下降；衰退,"declining (adj.)",Medium,"non-example: no noun/verb stress shift"
fluctuate,verb,"to rise and fall irregularly",波动,"fluctuation (n.)",High,""
proportion,noun,"a part or share in relation to a whole",比例,"proportional (adj.); proportionate (adj.)",Medium,""
percentage,noun,"a rate or proportion per hundred",百分比,"percent (n.)",Medium,""
majority,noun,"more than half of a group",大多数,"major (adj.); majorities (pl.)",Medium,"contrast pair with minority"
minority,noun,"the smaller part of a group",少数,"minor (adj.); minorities (pl.)",Medium,"contrast pair with majority"
average,"noun / adjective / verb","a typical or middle value; usual",平均；平均的,"averagely (adv.)",Low,""
overall,"adjective / adverb","taking everything into account; in total",总体的；总体而言,"",High,""
approximate,"adjective / verb","close to accurate, but not exact; to estimate closely",大概的；估计,"approximately (adv.); approximation (n.)",High,"adjective/verb ending alternation"
compare,verb,"to assess similarities and differences",比较,"comparison (n.); comparable (adj.); comparative (adj.)",Low,""
contrast,"noun / verb","a marked difference; to show a difference clearly",对比；对照,"contrasting (adj.)",Medium,"noun/verb stress pair"
similar,adjective,"resembling without being identical",相似的,"similarly (adv.); similarity (n.)",Medium,"commonly mis-stressed word"
differ,verb,"to be unlike or distinct",不同；相异,"different (adj.); difference (n.)",Low,""
equivalent,"adjective / noun","equal in value, amount, or meaning",相当的；等价物,"equivalently (adv.); equivalence (n.)",Medium,""
correspond,verb,"to match or be in agreement with",相符；通信,"correspondence (n.); corresponding (adj.)",High,""
represent,verb,"to stand for or symbolize",代表；表示,"representative (n./adj.); representation (n.)",High,""
argue,verb,"to give reasons for or against something",论证；争论,"argument (n.); arguably (adv.)",Medium,""
argument,noun,"a reason or set of reasons given in support",论点；论证,"argue (v.); argumentative (adj.)",Medium,"no stress shift from argue"
debate,"noun / verb","a formal discussion of opposing views",辩论,"debatable (adj.)",Low,""
controversial,adjective,"causing public disagreement",有争议的,"controversy (n.); controversially (adv.)",High,"attested stress variation"
consequence,noun,"a result or effect of an action",后果,"consequently (adv.); consequential (adj.)",Medium,"stress-stable pair with consequently"
consequently,adverb,"as a result; therefore",因此,"consequence (n.)",Medium,"stress-stable pair with consequence"
thus,adverb,"as a result; in this way",因此,"",Low,"discourse marker"
despite,preposition,"without being affected by; in spite of",尽管,"",Medium,""
nevertheless,adverb,"in spite of that; nonetheless",然而；尽管如此,"",High,"discourse marker"
furthermore,adverb,"in addition; besides",此外,"",Medium,"discourse marker"
moreover,adverb,"in addition; besides",此外；而且,"",High,"discourse marker"
addition,noun,"the action of adding something; furthermore (in addition)",增加；此外,"add (v.); additional (adj.); additionally (adv.)",Low,"-tion suffix stress example"
regarding,preposition,"with respect to; concerning",关于,"regard (n./v.); regardless (adv.)",Low,""
overcome,verb,"to successfully deal with a difficulty",克服,"overcoming (adj.)",High,""
address,"verb / noun","to deal with or speak to; a location",处理；演讲；地址,"addressee (n.)",Medium,"stress-variability caution"
tackle,verb,"to make a determined effort to deal with a problem",解决；应对,"tackling (v.)",Low,""
implement,"verb / noun","to put a plan or decision into effect",实施,"implementation (n.)",Medium,""
implementation,noun,"the process of putting a plan into effect",实施；执行,"implement (v./n.)",High,"-tion suffix stress example"
execute,verb,"to carry out or put into effect",执行,"execution (n.); executive (n./adj.)",High,""
enhance,verb,"to improve the quality or value of something",提升；增强,"enhancement (n.); enhanced (adj.)",Medium,""
improve,verb,"to make or become better",改善；提高,"improvement (n.); improved (adj.)",Medium,"stress-stable pair with improvement"
improvement,noun,"the act of making or becoming better",改善；进步,"improve (v.)",Medium,"stress-stable pair with improve"
facilitate,verb,"to make an action or process easier",促进；推动,"facilitation (n.); facilitator (n.)",High,""
promote,verb,"to support or actively encourage",促进；推广,"promotion (n.); promotional (adj.)",Medium,""
encourage,verb,"to give support or confidence to",鼓励,"encouragement (n.); encouraging (adj.)",Medium,"prefix contrast pair with discourage"
discourage,verb,"to persuade someone against doing something",阻止；使气馁,"discouragement (n.); discouraging (adj.)",Medium,"prefix contrast pair with encourage"
prevent,verb,"to stop something from happening",预防；阻止,"prevention (n.); preventable (adj.)",High,""
avoid,verb,"to keep away from or stop oneself from doing",避免,"avoidable (adj.); avoidance (n.)",Medium,"first /ɔɪ/ diphthong example"
reduce,verb,"to make smaller or less in amount",减少,"reduction (n.); reduced (adj.)",Low,""
minimize,verb,"to reduce to the smallest possible amount",最小化；减到最低,"minimal (adj.); minimum (n./adj.); minimization (n.)",Medium,""
university,noun,"an institution of higher education",大学,"universities (pl.)",High,""
institution,noun,"an organization founded for a particular purpose",机构；制度,"institutional (adj.)",High,"-tion suffix stress example"
curriculum,noun,"the subjects taught in a course of study",课程,"curricular (adj.); extracurricular (adj.)",Medium,""
assignment,noun,"a task or piece of work assigned to someone",作业；任务,"assign (v.); assigned (adj.)",Medium,""
lecture,"noun / verb","an educational talk to an audience",讲座；讲课,"lecturer (n.)",Low,"names the Retell Lecture item type"
seminar,noun,"a small class for discussion or training",研讨会,"",Low,""
graduate,"noun / adjective / verb","a person who has completed a degree; to complete a degree",毕业生；毕业的；毕业,"undergraduate (n.); graduation (n.)",High,"adjective/verb ending alternation"
undergraduate,"noun / adjective","a university student who has not yet earned a first degree",本科生,"graduate (n./v./adj.); postgraduate (n./adj.)",High,""
degree,noun,"an academic qualification; a unit of measurement",学位；程度,"degrees (pl.)",Low,""
qualification,noun,"a skill or achievement that fits someone for a role",资格；条件,"qualify (v.); qualified (adj.)",High,"-tion suffix stress example"
career,noun,"an occupation pursued over a significant period",职业；事业,"careers (pl.)",Low,"-eer stress-attraction example"
employment,noun,"the state of having paid work",就业；雇用,"employ (v.); employee (n.); employer (n.)",Medium,"stress-stable with employ"
employee,noun,"a person employed for wages",雇员,"employ (v.); employer (n.); employment (n.)",High,"-ee stress-attraction example"
employer,noun,"a person or organization that employs people",雇主,"employ (v.); employee (n.); employment (n.)",Medium,""
workplace,noun,"the location where someone works",工作场所,"",High,""
colleague,noun,"a person one works with",同事,"colleagues (pl.)",Low,""
supervisor,noun,"a person who oversees others' work",主管；导师,"supervise (v.); supervision (n.)",High,""
management,noun,"the process of organizing and controlling resources or people",管理,"manage (v.); manager (n.)",Medium,"stress-stable with manage"
manage,verb,"to be in charge of; to succeed in doing something",管理；设法做到,"management (n.); manager (n.); manageable (adj.)",Low,"stress-stable with management"
organization,noun,"an organized group or a structured arrangement",组织,"organize (v.); organizational (adj.)",High,"-tion suffix stress example"
organize,verb,"to arrange systematically",组织,"organization (n.); organized (adj.)",Medium,""
participate,verb,"to take part in an activity",参与,"participant (n.); participation (n.)",High,"stress-stable with participant"
participant,noun,"a person who takes part in something",参与者,"participate (v.); participation (n.)",Medium,"stress-stable with participate"
volunteer,"noun / verb","a person who offers to do something without being paid; to offer freely",志愿者；自愿做,"voluntary (adj.); volunteering (n.)",High,"-eer stress-attraction example"
schedule,"noun / verb","a plan of activities with times",日程；时间表,"scheduled (adj.); rescheduled (adj.)",Medium,"GA vs RP pronunciation"
deadline,noun,"the latest time by which something must be completed",截止日期,"deadlines (pl.)",Low,""
duration,noun,"the length of time something continues",持续时间,"durable (adj.)",Low,"-tion suffix stress example"
semester,noun,"half of an academic year",学期,"semesters (pl.)",Medium,""
academic,adjective,"relating to education, especially at a college or university level",学术的,"academically (adv.); academy (n.)",Medium,"-ic suffix stress example"
scholarship,noun,"a grant to support a student's education; academic study",奖学金；学术研究,"scholar (n.); scholarly (adj.)",High,""
climate,noun,"the weather conditions typical of an area",气候,"climatic (adj.)",Medium,""
species,noun,"a distinct biological classification of organisms",物种,"",Medium,"same form singular/plural"
ecosystem,noun,"a biological community and its environment",生态系统,"ecosystems (pl.); ecological (adj.)",Medium,""
sustainable,adjective,"able to be maintained without depleting resources",可持续的,"sustainability (n.); sustain (v.)",Medium,"stress-shift pair with sustainability"
sustainability,noun,"the quality of being sustainable",可持续性,"sustainable (adj.); sustain (v.)",High,"first -ity suffix stress example"
renewable,adjective,"capable of being renewed; naturally replenished",可再生的,"renew (v.); renewal (n.)",Low,""
emission,noun,"the production and discharge of something",排放,"emit (v.)",Low,"-tion suffix stress example"
pollution,noun,"the presence of harmful substances in the environment",污染,"pollute (v.); pollutant (n.)",Low,"-tion suffix stress example"
conservation,noun,"the protection and preservation of resources",保护；保育,"conserve (v.); conservative (adj.)",High,"-tion suffix stress example"
biodiversity,noun,"the variety of plant and animal life in an area",生物多样性,"biodiverse (adj.); diversity (n.)",High,"second -ity suffix stress example"
temperature,noun,"the degree of heat or cold",温度,"temperatures (pl.)",Medium,"natively reduced connected-speech form"
atmosphere,noun,"the layer of gases around a planet; a mood",大气；氛围,"atmospheric (adj.)",High,""
molecule,noun,"the smallest unit of a chemical compound",分子,"molecular (adj.)",Medium,""
organism,noun,"an individual living thing",生物；有机体,"organisms (pl.)",Medium,""
mechanism,noun,"a system of parts that work together; a process",机制,"mechanical (adj.); mechanically (adv.)",Medium,""
artificial,adjective,"made by humans, not occurring naturally",人工的；人造的,"artificially (adv.)",High,"pairs with intelligence"
intelligence,noun,"the ability to acquire and apply knowledge",智能；智力,"intelligent (adj.)",Medium,"pairs with artificial"
algorithm,noun,"a set of rules or steps used to solve a problem",算法,"algorithmic (adj.)",High,"first medial /ð/ example"
device,noun,"a piece of equipment made for a specific purpose",设备；装置,"devices (pl.)",Medium,""
equipment,noun,"items needed for a particular purpose",设备,"equip (v.); equipped (adj.)",Medium,""
infrastructure,noun,"the basic physical systems of a place",基础设施,"infrastructural (adj.)",High,"densest cluster sequence so far"
transportation,noun,"the movement of people or goods from place to place",交通；运输,"transport (n./v.)",High,"-tion suffix stress example"
vehicle,noun,"a machine used for transporting people or goods",车辆,"vehicles (pl.); vehicular (adj.)",Very High,"silent h spelling mismatch"
efficiency,noun,"the state of achieving maximum productivity with minimum waste",效率,"efficient (adj.); efficiently (adv.)",High,"stress-stable with efficient"
capacity,noun,"the maximum amount that can be contained or produced",容量；能力,"capable (adj.); capability (n.)",High,""
quantity,noun,"the amount or number of something",数量,"quantify (v.); quantitative (adj.)",Very High,"near-minimal pair with quality"
quality,noun,"the standard of something as measured against similar things",质量,"qualify (v.); qualitative (adj.)",Very High,"near-minimal pair with quantity"
volume,noun,"the amount of space occupied; loudness of sound",体积；音量,"voluminous (adj.)",High,""
density,noun,"the degree of compactness of a substance",密度,"dense (adj.)",Medium,""
velocity,noun,"the speed of something in a given direction",速度；速率,"",Medium,""
medicine,noun,"the science of diagnosing and treating illness; a drug",医学；药物,"medical (adj.); medicinal (adj.)",Low,"stress-stable with medical"
medical,adjective,"relating to medicine",医学的,"medicine (n.); medically (adv.)",Low,"stress-stable with medicine"
treatment,noun,"medical care for illness or injury",治疗,"treat (v.); treated (adj.)",Medium,""
symptom,noun,"a physical or mental sign of illness",症状,"symptomatic (adj.)",Medium,""
diagnosis,noun,"the identification of an illness",诊断,"diagnose (v.); diagnostic (adj.)",High,""
disease,noun,"a disorder affecting an organism's structure or function",疾病,"diseased (adj.)",Medium,""
virus,noun,"an infectious agent that replicates inside living cells",病毒,"viral (adj.)",Medium,""
vaccine,noun,"a substance used to stimulate immunity against disease",疫苗,"vaccinate (v.); vaccination (n.)",Medium,"attested stress variation"
immune,adjective,"resistant to a particular infection or disease",免疫的,"immunity (n.); immunize (v.)",Medium,""
nutrition,noun,"the process of providing food for health and growth",营养,"nutritious (adj.); nutrient (n.)",Medium,"-tion suffix stress example"
exercise,"noun / verb","physical activity for health; to practice or use",运动；练习,"exercising (v.); exerciser (n.)",Medium,""
psychology,noun,"the scientific study of the mind and behavior",心理学,"psychological (adj.); psychologist (n.)",Medium,"silent p spelling mismatch"
behavior,noun,"the way one acts or conducts oneself",行为,"behavioral (adj.); behave (v.)",Medium,""
emotion,noun,"a strong feeling",情感；情绪,"emotional (adj.)",Medium,"-tion suffix stress example"
memory,noun,"the faculty of retaining and recalling information",记忆,"memorize (v.); memorable (adj.)",Low,""
perception,noun,"the ability to see, hear, or understand",感知；观念,"perceive (v.); perceptual (adj.)",Medium,"-tion suffix stress example"
cognitive,adjective,"relating to mental processes of knowing and understanding",认知的,"cognition (n.); cognitively (adv.)",Medium,""
awareness,noun,"knowledge or perception of a situation",意识；认知,"aware (adj.)",Low,""
history,noun,"the study of past events",历史,"historical (adj.); historian (n.)",Low,"stress-shift pair with historical"
historical,adjective,"relating to history",历史的,"history (n.); historically (adv.)",Medium,"first -ical suffix stress example"
culture,noun,"the customs and social behavior of a society",文化,"cultural (adj.)",Low,"stress-stable with cultural"
cultural,adjective,"relating to culture",文化的,"culture (n.); culturally (adv.)",Medium,"stress-stable with culture"
century,noun,"a period of one hundred years",世纪,"centuries (pl.)",Medium,""
ancient,adjective,"belonging to the very distant past",古代的,"",Medium,""
civilization,noun,"an advanced stage of human social development",文明,"civilize (v.); civil (adj.)",High,"-tion suffix stress example"
heritage,noun,"valued objects and qualities passed down from previous generations",遗产,"",Medium,""
tradition,noun,"a long-established custom or belief",传统,"traditional (adj.); traditionally (adv.)",Medium,"stress-stable with traditional"
custom,noun,"a traditional way of behaving in a society",习俗,"customary (adj.)",Low,""
religion,noun,"belief in and worship of a superhuman controlling power",宗教,"religious (adj.)",Low,"stress-stable with religious"
religious,adjective,"relating to religion",宗教的,"religion (n.); religiously (adv.)",Low,"stress-stable with religion"
budget,"noun / verb","an estimate of income and expenditure",预算,"budgetary (adj.)",Low,""
investment,noun,"the action of investing money for profit",投资,"invest (v.); investor (n.)",Medium,"stress-stable with invest"
invest,verb,"to put money into something for profit",投资,"investment (n.); investor (n.)",Low,"stress-stable with investment"
profit,"noun / verb","financial gain",利润,"profitable (adj.)",Low,""
revenue,noun,"income generated from business activities",收入；营收,"",Low,""
expense,noun,"the cost incurred in doing something",费用；开支,"expensive (adj.); expend (v.)",Medium,""
finance,"noun / verb","the management of money",金融；财务,"financial (adj.); financially (adv.)",Medium,"attested stress variation"
financial,adjective,"relating to finance",金融的；财务的,"finance (n./v.); financially (adv.)",Medium,""
commercial,"adjective / noun","relating to commerce; a paid advertisement",商业的；广告,"commerce (n.); commercially (adv.)",Medium,""
corporate,adjective,"relating to a large company",企业的；公司的,"corporation (n.); corporately (adv.)",Medium,"stress-shift pair with corporation"
corporation,noun,"a large company or group of companies",公司；企业,"corporate (adj.)",High,"-tion suffix stress example"
industry,noun,"economic activity concerned with production",行业；工业,"industrial (adj.); industrious (adj.)",Medium,"stress-shift pair with industrial"
industrial,adjective,"relating to industry",工业的,"industry (n.); industrialize (v.)",Medium,"second -ial suffix stress example"
market,"noun / verb","a place or system for buying and selling",市场,"marketing (n.); marketable (adj.)",Low,"stress-stable with marketing"
marketing,noun,"the promotion and selling of products",营销,"market (n./v.); marketer (n.)",Low,"stress-stable with market"
competition,noun,"rivalry between businesses or individuals",竞争,"compete (v.); competitive (adj.)",High,"-tion suffix stress example"
competitive,adjective,"relating to or marked by competition",竞争激烈的,"compete (v.); competition (n.)",Medium,""
consumer,noun,"a person who purchases goods or services",消费者,"consume (v.); consumption (n.)",Low,"pairs with consumption"
consumption,noun,"the action of using up a resource",消费；消耗,"consume (v.); consumer (n.)",Medium,"-tion suffix stress example"
transaction,noun,"an instance of buying or selling",交易,"transact (v.)",Medium,"-tion suffix stress example"
currency,noun,"a system of money in use in a country",货币,"",Low,""
inflation,noun,"a general rise in prices",通货膨胀,"inflate (v.); inflationary (adj.)",Medium,"-tion suffix stress example"
taxation,noun,"the system of levying taxes",税收,"tax (n./v.); taxable (adj.)",Medium,"-tion suffix stress example"
income,noun,"money received, especially regularly",收入,"",Low,""
salary,noun,"a fixed regular payment for employment",薪水,"salaried (adj.)",Low,""
wage,noun,"a fixed regular payment, typically hourly or daily",工资,"wages (pl.)",Low,""
entrepreneur,noun,"a person who sets up and runs a business",企业家,"entrepreneurship (n.); entrepreneurial (adj.)",High,"French-origin final-stress loanword"
enterprise,noun,"a business or company; a bold undertaking",企业,"enterprising (adj.)",Medium,""
shareholder,noun,"a person who owns shares in a company",股东,"share (n./v.); holder (n.); stakeholder (n.)",High,"compound noun stress example"
stakeholder,noun,"a person with an interest or concern in a business",利益相关者,"stake (n./v.); holder (n.); shareholder (n.)",High,"compound noun stress example"
region,noun,"an area or division, especially part of a country",地区,"regional (adj.)",Low,"stress-stable with regional"
regional,adjective,"relating to a particular region",地区的,"region (n.)",Medium,"stress-stable with region"
rural,adjective,"relating to the countryside",农村的,"rurally (adv.)",Medium,"contrast pair with urban"
urban,adjective,"relating to a city or densely populated area",城市的,"urbanization (n.)",Low,"contrast pair with rural"
suburb,noun,"a residential area on the outskirts of a city",郊区,"suburban (adj.)",Low,""
municipal,adjective,"relating to a town or city with local government",市政的,"municipality (n.)",High,""
residential,adjective,"relating to residence or housing",住宅的,"reside (v.); residence (n.); resident (n.)",High,""
territory,noun,"an area of land under a particular jurisdiction",领土；地域,"territorial (adj.)",Medium,""
boundary,noun,"a line marking a limit or division",边界,"boundaries (pl.)",Medium,""
coastal,adjective,"relating to the coast",沿海的,"coast (n.)",Medium,""
media,noun,"the main means of mass communication",媒体,"medium (sg.); multimedia (n./adj.)",Low,""
