word,pte_frequency_rating,question_types,basis,source
solution,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
problem,"Very High","Essay, Read Aloud, Describe Image","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
issue,"Very High","Essay, Summarize Written Text, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
situation,"Very High","Respond to a Situation, Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary; directly names an item type","Practice — not from a verified PTE frequency list"
circumstance,"Medium-High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
condition,"Very High","Read Aloud, Essay, Describe Image","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
relationship,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
communication,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
technology,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
innovation,High,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
traditional,High,"Essay, Read Aloud, Describe Image","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
global,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
economic,High,"Essay, Retell Lecture, Describe Image","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
economy,High,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
society,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
population,"Very High","Describe Image, Essay, Retell Lecture","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
generation,High,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
government,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
policy,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
education,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
knowledge,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
skill,"Very High","Essay, Read Aloud, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
experience,"Very High","Essay, Read Aloud, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
professional,High,"Essay, Write Email, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
resource,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
essential,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
crucial,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
valuable,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
reliable,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
flexible,High,"Essay, Read Aloud, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
accurate,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
appropriate,"Very High","Essay, Respond to a Situation, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
suitable,"Medium-High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
reasonable,High,"Essay, Respond to a Situation","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
remarkable,"Medium-High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
dramatic,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
gradual,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
steady,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
rapid,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
decline,High,"Describe Image, Essay, Summarize Written Text","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
fluctuate,Medium,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
proportion,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
percentage,"Very High","Describe Image, Essay, Summarize Written Text","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
majority,"Very High","Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
minority,"Very High","Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
average,"Very High","Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
overall,"Very High","Describe Image, Essay, Summarize Written Text","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
approximate,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
compare,"Very High","Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
contrast,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
similar,"Very High","Describe Image, Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
differ,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
equivalent,Medium,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
correspond,Medium,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
represent,"Very High","Describe Image, Essay, Retell Lecture","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
argue,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
argument,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
debate,"Medium-High","Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
controversial,High,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
consequence,High,"Essay, Summarize Written Text","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
consequently,High,"Essay, Summarize Written Text","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
thus,High,"Essay, Summarize Written Text","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
despite,"Very High","Essay, Summarize Written Text, Read Aloud","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
nevertheless,"Medium-High","Essay, Summarize Written Text","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
furthermore,"Medium-High","Essay, Summarize Written Text","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
moreover,"Medium-High","Essay, Summarize Written Text","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
addition,High,"Essay, Summarize Written Text","author judgment: common discourse marker (in addition)","Practice — not from a verified PTE frequency list"
regarding,High,"Essay, Respond to a Situation, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
overcome,High,"Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
address,"Very High","Essay, Respond to a Situation, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
tackle,Medium,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
implement,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
implementation,Medium,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
execute,Medium,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
enhance,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
improve,"Very High","Essay, Read Aloud, Describe Image","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
improvement,"Very High","Essay, Describe Image, Retell Lecture","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
facilitate,Medium,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
promote,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
encourage,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
discourage,"Medium-High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
prevent,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
avoid,"Very High","Essay, Read Aloud, Respond to a Situation","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
reduce,"Very High","Describe Image, Essay, Read Aloud","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
minimize,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
university,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
institution,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
curriculum,"Medium-High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
assignment,"Very High","Essay, Read Aloud, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
lecture,"Very High","Retell Lecture, Read Aloud, Essay","author judgment: names the Retell Lecture item type","Practice — not from a verified PTE frequency list"
seminar,Medium,"Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
graduate,High,"Read Aloud, Essay, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
undergraduate,"Medium-High","Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
degree,"Very High","Read Aloud, Essay, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
qualification,"Medium-High","Write Email, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
career,"Very High","Essay, Read Aloud, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
employment,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
employee,High,"Essay, Write Email, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
employer,High,"Essay, Write Email, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
workplace,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
colleague,High,"Essay, Write Email, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
supervisor,"Medium-High","Write Email, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
management,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
manage,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
organization,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
organize,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
participate,High,"Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
participant,High,"Essay, Retell Lecture","author judgment: common in research-description contexts","Practice — not from a verified PTE frequency list"
volunteer,"Medium-High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
schedule,"Very High","Read Aloud, Write Email, Respond to a Situation","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
deadline,"Very High","Read Aloud, Write Email, Respond to a Situation","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
duration,Medium,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
semester,Medium,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
academic,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: names the test itself (PTE Academic)","Practice — not from a verified PTE frequency list"
scholarship,Medium,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
climate,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
species,High,"Read Aloud, Retell Lecture","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
ecosystem,High,"Read Aloud, Retell Lecture","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
sustainable,"Very High","Essay, Read Aloud","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
sustainability,High,"Essay, Retell Lecture","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
renewable,"Very High","Read Aloud, Essay","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
emission,"Very High","Read Aloud, Essay","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
pollution,"Very High","Read Aloud, Essay","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
conservation,High,"Read Aloud, Retell Lecture","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
biodiversity,"Medium-High","Read Aloud, Retell Lecture","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
temperature,"Very High","Read Aloud, Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
atmosphere,"Medium-High","Read Aloud, Retell Lecture","author judgment: common environmental Read Aloud topic","Practice — not from a verified PTE frequency list"
molecule,Medium,"Read Aloud, Retell Lecture","author judgment: common science Read Aloud topic","Practice — not from a verified PTE frequency list"
organism,"Medium-High","Read Aloud, Retell Lecture","author judgment: common science Read Aloud topic","Practice — not from a verified PTE frequency list"
mechanism,High,"Read Aloud, Essay, Retell Lecture","author judgment: common science/academic vocabulary","Practice — not from a verified PTE frequency list"
artificial,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common technology Read Aloud topic","Practice — not from a verified PTE frequency list"
intelligence,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common technology Read Aloud topic","Practice — not from a verified PTE frequency list"
algorithm,Medium,"Read Aloud, Retell Lecture","author judgment: common technology Read Aloud topic","Practice — not from a verified PTE frequency list"
device,"Very High","Read Aloud, Essay","author judgment: common technology Read Aloud topic","Practice — not from a verified PTE frequency list"
equipment,"Very High","Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
infrastructure,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
transportation,"Very High","Read Aloud, Essay, Describe Image","author judgment: common city/infrastructure Read Aloud topic","Practice — not from a verified PTE frequency list"
vehicle,"Very High","Read Aloud, Essay","author judgment: common technology/environment Read Aloud topic","Practice — not from a verified PTE frequency list"
efficiency,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
capacity,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
quantity,"Very High","Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
quality,"Very High","Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
volume,High,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
density,Medium,"Describe Image, Essay","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
velocity,Medium,"Read Aloud, Retell Lecture","author judgment: common science Read Aloud topic","Practice — not from a verified PTE frequency list"
medicine,"Very High","Read Aloud, Essay","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
medical,"Very High","Read Aloud, Essay","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
treatment,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
symptom,High,"Read Aloud, Retell Lecture","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
diagnosis,"Medium-High","Read Aloud, Retell Lecture","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
disease,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
virus,"Very High","Read Aloud, Retell Lecture","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
vaccine,High,"Read Aloud, Retell Lecture","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
immune,High,"Read Aloud, Retell Lecture","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
nutrition,High,"Read Aloud, Essay","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
exercise,"Very High","Read Aloud, Essay","author judgment: common health-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
psychology,High,"Read Aloud, Retell Lecture","author judgment: common psychology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
behavior,"Very High","Read Aloud, Retell Lecture, Essay","author judgment: common psychology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
emotion,High,"Read Aloud, Retell Lecture","author judgment: common psychology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
memory,"Very High","Read Aloud, Retell Lecture","author judgment: common psychology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
perception,"Medium-High","Read Aloud, Retell Lecture","author judgment: common psychology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
cognitive,Medium,"Read Aloud, Retell Lecture","author judgment: common psychology-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
awareness,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
history,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common history-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
historical,High,"Read Aloud, Essay, Retell Lecture","author judgment: common history-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
culture,"Very High","Read Aloud, Essay","author judgment: common culture-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
cultural,High,"Read Aloud, Essay","author judgment: common culture-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
century,High,"Read Aloud, Retell Lecture","author judgment: common history-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
ancient,High,"Read Aloud, Retell Lecture","author judgment: common history-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
civilization,Medium,"Read Aloud, Retell Lecture","author judgment: common history-topic Read Aloud vocabulary","Practice — not from a verified PTE frequency list"
